id,round,species,genome_size,exon_start_range,exon_end_range,noncoding_start_range,non_coding_end_range,active_te,te_mobilized,te_static,te_in_exons,te_in_noncoding,te_mobilize_prob
209,209,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1045000,0,152449,892551,0.5
210,210,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1050000,0,153158,896842,0.5
211,211,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1055000,0,153941,901059,0.5
212,212,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1060000,0,154657,905343,0.5
213,213,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1065000,0,155395,909605,0.5
214,214,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1070000,0,156143,913857,0.5
215,215,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1075000,0,156822,918178,0.5
216,216,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1080000,0,157559,922441,0.5
217,217,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1085000,0,158295,926705,0.5
218,218,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1090000,0,159040,930960,0.5
219,219,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1095000,0,159776,935224,0.5
220,220,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1100000,0,160520,939480,0.5
221,221,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1105000,0,161200,943800,0.5
222,222,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1110000,0,161950,948050,0.5
223,223,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1115000,0,162688,952312,0.5
224,224,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1120000,0,163419,956581,0.5
225,225,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1125000,0,164139,960861,0.5
226,226,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1130000,0,164883,965117,0.5
227,227,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1135000,0,165607,969393,0.5
228,228,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1140000,0,166356,973644,0.5
229,229,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1145000,0,167097,977903,0.5
230,230,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1150000,0,167780,982220,0.5
231,231,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1155000,0,168487,986513,0.5
232,232,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1160000,0,169220,990780,0.5
233,233,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1165000,0,169958,995042,0.5
234,234,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1170000,0,170736,999264,0.5
235,235,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1175000,0,171463,1003537,0.5
236,236,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1180000,0,172177,1007823,0.5
237,237,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1185000,0,172845,1012155,0.5
238,238,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1190000,0,173591,1016409,0.5
239,239,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1195000,0,174350,1020650,0.5
240,240,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1200000,0,175065,1024935,0.5
241,241,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1205000,0,175805,1029195,0.5
